Date,Predicted Volatility,Predicted Max Drawdown,Predicted Sharpe Ratio
2023-06-02 15:00:00,4.188037,3.2766013,2.463609
2023-06-05 15:00:00,4.186656,3.2735438,2.4605172
2023-06-06 15:00:00,4.185451,3.2716196,2.4576988
2023-06-07 15:00:00,4.184177,3.2710302,2.4577644
2023-06-08 15:00:00,4.182679,3.2721431,2.4620073
2023-06-09 15:00:00,4.1807337,3.2757702,2.472718
2023-06-12 15:00:00,4.1795235,3.2794373,2.480385
2023-06-13 15:00:00,4.179011,3.2822666,2.4849167
2023-06-14 15:00:00,4.178739,3.2846296,2.4889982
2023-06-15 15:00:00,4.1791654,3.2853067,2.4880364
2023-06-16 15:00:00,4.179014,3.2867365,2.4918544
2023-06-19 15:00:00,4.179185,3.2875695,2.4929264
2023-06-20 15:00:00,4.1802497,3.2859735,2.4862893
2023-06-21 15:00:00,4.181813,3.281889,2.4741557
2023-06-26 15:00:00,4.183394,3.2761228,2.4595492
2023-06-27 15:00:00,4.1850905,3.2686274,2.4412825
2023-06-28 15:00:00,4.1850643,3.26389,2.4347625
2023-06-29 15:00:00,4.1846876,3.2605886,2.4299216
2023-06-30 15:00:00,4.18464,3.2571616,2.4224482
2023-07-03 15:00:00,4.184577,3.2538188,2.4152393
2023-07-04 15:00:00,4.1841545,3.251447,2.41127
2023-07-05 15:00:00,4.183938,3.2490535,2.4060402
2023-07-06 15:00:00,4.183878,3.246498,2.400132
2023-07-07 15:00:00,4.1838236,3.2439604,2.3945203
2023-07-10 15:00:00,4.1839514,3.2409627,2.3873894
2023-07-11 15:00:00,4.1839643,3.2381046,2.3812575
2023-07-12 15:00:00,4.1839957,3.2351935,2.3748543
2023-07-13 15:00:00,4.1843877,3.2314098,2.3654442
2023-07-14 15:00:00,4.1844707,3.2279725,2.3583248
2023-07-17 15:00:00,4.1844296,3.224842,2.3519473
2023-07-18 15:00:00,4.1844463,3.221684,2.345044
2023-07-19 15:00:00,4.184429,3.2186217,2.3384535
2023-07-20 15:00:00,4.1838775,3.2169237,2.3364685
2023-07-21 15:00:00,4.183252,3.216046,2.335632
2023-07-24 15:00:00,4.182431,3.2162638,2.3374135
2023-07-25 15:00:00,4.1821027,3.2161229,2.3364744
2023-07-26 15:00:00,4.179329,3.221966,2.3567326
2023-07-27 15:00:00,4.1764827,3.2309613,2.3804696
2023-07-28 15:00:00,4.1744957,3.2405283,2.4015694
2023-07-31 15:00:00,4.1720743,3.252567,2.430252
2023-08-01 15:00:00,4.170115,3.2655523,2.4591775
2023-08-02 15:00:00,4.169215,3.2773952,2.4828944
2023-08-03 15:00:00,4.169097,3.2876594,2.5025616
2023-08-04 15:00:00,4.1688046,3.2980478,2.5248253
2023-08-07 15:00:00,4.1690087,3.3073733,2.54357
2023-08-08 15:00:00,4.1707115,3.312592,2.5495963
2023-08-09 15:00:00,4.173084,3.3141153,2.548082
2023-08-10 15:00:00,4.1750913,3.313999,2.5459745
2023-08-11 15:00:00,4.1766033,3.3133092,2.5442612
2023-08-14 15:00:00,4.178074,3.3115435,2.5396438
2023-08-15 15:00:00,4.1797295,3.3081057,2.530538
2023-08-16 15:00:00,4.181372,3.3032057,2.5184793
2023-08-17 15:00:00,4.182078,3.2991455,2.5112
2023-08-18 15:00:00,4.1823435,3.2958739,2.5056255
2023-08-21 15:00:00,4.18287,3.2920704,2.4970028
2023-08-22 15:00:00,4.184063,3.286186,2.4817648
2023-08-23 15:00:00,4.1850634,3.279564,2.4665308
2023-08-24 15:00:00,4.1862116,3.2717736,2.448343
2023-08-25 15:00:00,4.1873193,3.263085,2.428545
2023-08-28 15:00:00,4.1870813,3.2568426,2.4183133
2023-08-29 15:00:00,4.1848497,3.2562087,2.4244435
2023-08-30 15:00:00,4.1819205,3.2599516,2.4384782
2023-08-31 15:00:00,4.1792464,3.2661428,2.454799
2023-09-01 15:00:00,4.178512,3.2699382,2.4594603
2023-09-04 15:00:00,4.177535,3.2743258,2.46897
2023-09-05 15:00:00,4.17679,3.2787375,2.4783015
2023-09-06 15:00:00,4.1767273,3.2820175,2.483649
2023-09-07 15:00:00,4.176244,3.28615,2.4933798
2023-09-08 15:00:00,4.176225,3.2895594,2.4998116
2023-09-11 15:00:00,4.176642,3.2918098,2.5030398
2023-09-12 15:00:00,4.177684,3.2918775,2.5003736
2023-09-13 15:00:00,4.1789036,3.2903345,2.4949272
2023-09-14 15:00:00,4.180065,3.2877698,2.4881592
2023-09-15 15:00:00,4.181266,3.2841108,2.4790423
2023-09-18 15:00:00,4.1824455,3.279479,2.4679878
2023-09-19 15:00:00,4.1836224,3.273895,2.4548898
2023-09-20 15:00:00,4.1845107,3.267936,2.441808
2023-09-21 15:00:00,4.185089,3.2621143,2.429596
2023-09-22 15:00:00,4.1854396,3.2565756,2.4181268
2023-09-25 15:00:00,4.1852207,3.252299,2.4106233
2023-09-26 15:00:00,4.1853786,3.2475486,2.3998399
2023-09-27 15:00:00,4.185688,3.2423496,2.387871
2023-09-28 15:00:00,4.185945,3.2370288,2.3761003
2023-10-09 15:00:00,4.1859694,3.232128,2.3659823
2023-10-10 15:00:00,4.1862907,3.2266717,2.3533902
2023-10-11 15:00:00,4.1867085,3.2207572,2.3398473
2023-10-12 15:00:00,4.1871033,3.2146153,2.326139
2023-10-13 15:00:00,4.1871414,3.2091322,2.3150375
2023-10-16 15:00:00,4.18757,3.2029111,2.3005674
2023-10-17 15:00:00,4.1888633,3.194381,2.2788367
2023-10-18 15:00:00,4.190636,3.1835845,2.2521813
2023-10-19 15:00:00,4.19277,3.1705198,2.2207065
2023-10-20 15:00:00,4.1950736,3.1554856,2.1854126
2023-10-23 15:00:00,4.1962957,3.141399,2.1561637
2023-10-24 15:00:00,4.196824,3.1286342,2.1304667
2023-10-25 15:00:00,4.196681,3.117742,2.1094372
2023-10-26 15:00:00,4.1959786,3.108786,2.092731
2023-10-27 15:00:00,4.195337,3.1008308,2.0767093
2023-10-30 15:00:00,4.1944766,3.0942228,2.0639799
2023-10-31 15:00:00,4.1936,3.0885727,2.0528893
2023-11-01 15:00:00,4.1934104,3.0823283,2.038264
2023-11-02 15:00:00,4.1933084,3.0760834,2.0244222
2023-11-03 15:00:00,4.1934376,3.069539,2.0096729
2023-11-06 15:00:00,4.1933584,3.0634496,1.9970595
2023-11-07 15:00:00,4.191332,3.061799,1.9998254
2023-11-08 15:00:00,4.189071,3.0628324,2.0059752
2023-11-09 15:00:00,4.1865363,3.066389,2.0170627
2023-11-10 15:00:00,4.1847706,3.0701852,2.0253801
2023-11-13 15:00:00,4.183748,3.0733554,2.0309703
2023-11-14 15:00:00,4.183622,3.0749407,2.0318153
2023-11-15 15:00:00,4.1836967,3.075749,2.0322034
2023-11-16 15:00:00,4.183587,3.076657,2.0342257
2023-11-17 15:00:00,4.1836853,3.0770996,2.034574
2023-11-20 15:00:00,4.1842976,3.0762675,2.0309446
2023-11-21 15:00:00,4.185098,3.074435,2.0255122
2023-11-22 15:00:00,4.1849318,3.074033,2.0266938
2023-11-23 15:00:00,4.184687,3.0741534,2.0278895
